X(m),Y(m),Dist
74.05, 41.6, 0.0
75.85, 41.6, 1.85
77.65, 41.6, 3.8
79.45, 41.6, 5.6
81.25, 41.6, 7.45
83.05, 41.6, 9.25
85.55, 41.6, 11.8
87.35, 41.6, 13.6
89.05, 41.6, 15.3
92.25, 41.6, 18.5
95.45, 41.6, 22
98.65, 41.6, 25.2
101.85,41.6, 28.6
105.05,41.6, 31.8
108.25,41.6, 35.2
111.45,41.6, 38.4
114.65,41.6, 41.6
117.85,41.6, 45.1
121,   41.6, 48.35
124.7, 41.6, 52.2
127.9, 41.6, 55.4
131.1, 41.6, 58.6
134.3, 41.6, 62.1
137.5, 41.6, 65.4
140.7, 41.6, 68.6
143.9, 41.6, 71.8
147.1, 41.6, 75.2
150.3, 41.6, 78.7
153.5, 41.6, 81.9
156.7, 41.6, 85.1
159.9, 41.6, 88.5
163.1, 41.6, 91.7
166.3, 41.6, 95.2
169.5, 41.6, 98.6
172.7, 41.6, 101.8
174.3, 41.6, 103.4
175.9, 41.6, 105
177.5, 41.6, 106.8
179.1, 41.6, 108.5
180.7, 41.6, 110.1
182.3, 41.6, 111.8
183.1, 42.8, 112.8
183.1, 45.2, 115.3
183.1, 47.6, 117.7
183.1, 50,   120.2
183.1, 52.4, 122.7
183.1, 54.8, 125.15
183.1, 57.65,128
183.1, 60.05, 130.6
183.1, 62.45, 133.1
183.1, 65.05, 135.5
183.1, 68.25, 138.8
183.1, 70.65, 141.2
183.1, 73.05, 143.6
183.1, 75.45, 146.15
183.1, 77.85, 148.6
183.1, 80.25, 151.1
183.1, 82.65, 153.5
183.1, 85.05, 156.05
183.1, 87.45, 158.7
180.7, 90.25, 162
179.1, 90.25, 163.6
177.5, 90.25, 165.3
175.9, 90.25, 166.9
174.3, 90.25, 168.5
172.7, 90.25, 170.2
171.1, 90.25, 171.8
169.5, 90.25, 173.4
167.9, 90.25, 175.1
166.3, 90.25, 176.7
164.7, 90.25, 178.3
163.1, 90.25, 180.5
