X(m),Y(m)
74.05, 41.6
75.85, 41.6
77.65, 41.6
79.45, 41.6
81.25, 41.6
83.05, 41.6
85.55, 41.6
87.35, 41.6
89.05, 41.6
92.25, 41.6
95.45, 41.6
98.65, 41.6
101.85,41.6
105.05,41.6
108.25,41.6
111.45,41.6
114.65,41.6
117.85,41.6
121,   41.6
124.7, 41.6
127.9, 41.6
131.1, 41.6
134.3, 41.6
137.5, 41.6
140.7, 41.6
143.9, 41.6
147.1, 41.6
150.3, 41.6
153.5, 41.6
156.7, 41.6
159.9, 41.6
163.1, 41.6
166.3, 41.6
169.5, 41.6
172.7, 41.6
174.3, 41.6
175.9, 41.6
177.5, 41.6
179.1, 41.6
180.7, 41.6
182.3, 41.6
