X(m),Y(m),Dist
84.85, 41.6,0.0
83.05, 41.6,1.8
81.25,41.6, 3.65
79.45,41.6,5.45
77.65,41.6,7.25
75.85,41.6,9.08
74.05,42.8,11.93
74.05,44.6,13.73
74.05,46.4,15.53
74.05,48.2,17.35
74.05,50,  19.15
74.05,51.8,20.95
74.05,53.6,22.85
74.05,55.4,24.65
74.05,57.2,26.5
74.05,59,  28.3
74.05,60.8,30.2
74.05,62.6,32
74.05,64.4,33.85
74.05,66.2,35.8
74.05,68,  37.6
74.05,69.8,39.4
74.05,71.6,41.2
74.05,73.4,43.05
74.05,75.2,44.95
74.05,77,  46.85
74.05,78.8,48.65
74.05,80.55,50.45
74.05,82.25,52.15
74.05,83.95,53.85
74.05,85.8,55.65
74.05,87.4,57.25
74.05,89,  58.9
72.4,90.2, 61.9
70.6,90.2, 63.8
68.8,90.2, 65.8
67,  90.2, 67.6
65.2,90.2, 69.4
63.4,90.2, 71.2
61.6,90.2, 73
59.8,90.2, 74.8
58,  90.2, 76.7
56.2,90.2, 78.7
54.4,90.2, 80.5
52.6,90.2, 82.3
50.8,90.2, 84.1
49,  90.2, 86.0
47.2,90.2, 87.8
45.4,90.2, 89.6
43.6,90.2, 91.4
41.8,90.2, 93.2
40,  90.2, 95.1
38.2,90.2, 97.2
36.4,90.2, 99
34.6,90.2, 100.8
32.8,90.2, 102.75
31,  90.2, 104.55
29.2,90.2, 106.45
27.4,90.2, 108.25
25.6,90.2, 110.2
23.8,90.2, 112
22,  90.2, 113.8
20.2,90.2, 115.65
18.4,90.2, 117.6
16.6,90.2, 119.65
14.8,90.2, 121.6
13,  90.2, 123.5
11.2,90.2, 125.3
9.4, 90.2, 127.2
7.6, 90.2, 129
5.8, 90.2, 130.8
4,   90.2, 132.6
2.2, 90.2, 134.4
1.3, 89,   136.05
1.3, 87.2, 137.85
1.3, 85.4, 139.75
1.3, 83.6, 141.55
1.3, 81.8, 143.35
1.3, 80,   145.15
1.3, 78.2, 146.95
1.3, 76.4, 148.85
1.3, 74.6, 150.65
1.3, 72.8, 152.5
1.3, 70.8, 154.3
1.3, 69,   156.2
1.3, 67.2, 158.2
1.3, 65.4, 160
1.3, 63.6, 161.8
1.3, 61.8, 163.6
1.3, 60,   165.5
1.3, 58.2, 167.3
1.3, 56.4, 169.1
1.3, 54.6, 170.9
1.3, 52.8, 172.7
1.3, 51,   174.6
1.3, 49.2, 176.4
1.3, 47.4, 178.3
1.3, 45.6, 180.1
1.3, 43.8, 181.9
